               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.092844,             0.20005,                   0,             0.50962,             0.32904,             0.34905,             0.10797,            0.091572,             0.19725,                   0,            0.004109,            0.004109,            0.057409
                  39,            0.092309,             0.20332,                   0,             0.48044,             0.36267,             0.35674,               0.111,            0.091306,             0.19584,                   0,           0.0041856,           0.0041856,            0.056286
                  40,            0.091029,             0.20534,                   0,             0.46531,             0.37756,             0.35862,             0.10393,            0.091736,             0.19668,                   0,           0.0042602,           0.0042602,             0.05516
                  41,            0.090313,             0.20369,                   0,             0.48639,             0.37688,             0.38263,             0.11064,            0.090553,             0.19582,                   0,           0.0043327,           0.0043327,            0.054033
                  42,              0.0905,             0.20081,                   0,             0.47911,             0.40863,             0.40234,             0.12787,            0.089202,              0.1967,                   0,           0.0044031,           0.0044031,            0.052903
                  43,            0.090745,             0.19818,                   0,             0.48851,             0.40359,              0.4036,             0.12871,            0.089767,             0.20361,                   0,           0.0044714,           0.0044714,            0.051771
                  44,            0.088985,             0.20291,                   0,             0.51398,             0.39182,             0.41149,             0.13016,            0.088601,             0.19407,                   0,           0.0045375,           0.0045375,            0.050638
                  45,            0.088995,             0.19762,                   0,              0.5164,             0.40022,             0.41907,             0.13746,            0.088229,             0.19375,                   0,           0.0046015,           0.0046015,            0.049501
                  46,            0.088537,             0.19875,                   0,             0.51367,             0.42489,             0.44257,             0.15092,            0.087156,             0.19386,                   0,           0.0046632,           0.0046632,            0.048363
                  47,            0.088255,             0.20166,                   0,             0.55677,             0.46244,             0.47752,             0.16196,            0.086928,             0.19853,                   0,           0.0047228,           0.0047228,            0.047223
                  48,            0.086721,             0.20414,                   0,              0.5408,             0.42881,             0.45254,             0.15272,            0.086426,             0.19451,                   0,           0.0047801,           0.0047801,             0.04608
                  49,            0.087563,             0.20389,                   0,             0.60791,             0.42433,             0.47342,             0.16577,             0.08569,             0.19388,                   0,           0.0048352,           0.0048352,            0.044935
                  50,            0.085945,             0.20242,                   0,             0.61877,             0.42761,             0.47962,             0.17044,            0.085192,             0.19357,                   0,            0.004888,            0.004888,            0.043788
                  51,            0.085494,             0.20127,                   0,             0.60078,             0.46637,               0.513,             0.18816,            0.084553,             0.19296,                   0,           0.0049385,           0.0049385,            0.042639
                  52,            0.086837,             0.20565,                   0,             0.55408,             0.48374,             0.50691,             0.18538,             0.08472,             0.19455,                   0,           0.0049868,           0.0049868,            0.041487
                  53,            0.086234,             0.19753,                   0,             0.61613,             0.46413,             0.51603,             0.19208,            0.084323,             0.19337,                   0,           0.0050327,           0.0050327,            0.040333
                  54,            0.085532,             0.20196,                   0,             0.64457,              0.4574,             0.52827,              0.1986,            0.083877,             0.19268,                   0,           0.0050764,           0.0050764,            0.039176
                  55,             0.08568,             0.19883,                   0,             0.66131,             0.47422,              0.5461,             0.20998,            0.083317,             0.19577,                   0,           0.0051177,           0.0051177,            0.038018
                  56,            0.083387,             0.20261,                   0,             0.63773,             0.50617,             0.55899,             0.21478,            0.083015,             0.19476,                   0,           0.0051567,           0.0051567,            0.036857
                  57,            0.084044,             0.19748,                   0,             0.63957,             0.46847,             0.54419,             0.20747,            0.082891,             0.19258,                   0,           0.0051934,           0.0051934,            0.035693
                  58,            0.083711,             0.20451,                   0,             0.69985,             0.42216,             0.52217,             0.19969,             0.08325,             0.19275,                   0,           0.0052278,           0.0052278,            0.034528
